id,title,artist,album,img,rtime
0B0jhczWfIdjY0p4KY1ArL,Another You (feat. Kanye West),"The WRLDFMS Tony Williams, Kanye West",The 7th Day,https://i.scdn.co/image/ab67616d00001e02ca0517e383b4533f835a235a,262986
2cHEJfLPCYxeq2YpGO5ys3,Hole Heart,Genesis Owusu,Hole Heart,https://i.scdn.co/image/ab67616d00001e02b9794d4510e5644db0f0de71,196093
1m8WpLYXEiNVZchsWEcCSy,Come Through and Chill (feat. J. Cole & Salaam Remi),"Miguel, J. Cole, Salaam Remi",War & Leisure,https://i.scdn.co/image/ab67616d00001e02f654e8e9ac3c24881239ab7c,322000
300DUx4tdtCdGEUXR032jA,"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)","The Internet, Tyler, The Creator, Steve Lacy",Ego Death,https://i.scdn.co/image/ab67616d00001e021c1c33c63cdbcb5788975a93,440013
6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",Pretty Girls Like Trap Music,https://i.scdn.co/image/ab67616d00001e02c0c05243a846dda6c84607f9,210200
6OquGsVTLqZHyxqG0PLwFz,"PiLOT (feat. Snoop Dogg, Busta Rhymes, Anderson .Paak)","DOMi & JD BECK, Anderson .Paak, Busta Rhymes, Snoop Dogg",NOT TiGHT,https://i.scdn.co/image/ab67616d00001e028569040f689c3249eeb04345,202451
111ixdtGqBX2riiqg8m8Xx,Disco Pantz,"Rejjie Snow, Tinashe, grouptherapy.",Baw Baw Black Sheep,https://i.scdn.co/image/ab67616d00001e024c7d79a229ee09aa173b4723,173666
5ugcpEprRXs0HnZ1iMFXed,Luckily I’m Having (feat. Teezo Touchdown),"Don Toliver, Teezo Touchdown",Love Sick (Deluxe),https://i.scdn.co/image/ab67616d00001e02f5e27c2aa0b110c2b6611577,194453
270aLuFCbX32hhBr8MQyPM,Love U Better (feat. Lil Wayne & The-Dream),"Ty Dolla $ign, Nathaniel Alford, Twice As Nice, Lil Wayne, The-Dream",Beach House 3,https://i.scdn.co/image/ab67616d00001e0256f796c9039f52e90d015b4d,181880
50a8bKqlwDEqeiEknrzkTO,ball w/o you,21 Savage,i am > i was,https://i.scdn.co/image/ab67616d00001e02280689ecc5e4b2038bb5e4bd,195046
4brX8MJs5hxErgq48f9REO,Stay,Mac Miller,The Divine Feminine,https://i.scdn.co/image/ab67616d00001e022e92f776279eaf45d14a33fd,326426
3VRH0UqoAYXLj1WTqpuwHi,Bound,"Ryan Trey, Mudi",august,https://i.scdn.co/image/ab67616d00001e020857bee8a830829401a4af38,198000
0H57lJQoHSzP4nE7EvTJPP,Have You Seen That Girl?,GoldLink,At What Cost,https://i.scdn.co/image/ab67616d00001e027bcd3cd54e8399ae38cc6e64,162277
